"","Gene.Symbol","Uniprot.AC","Protein.Name","Entrez.Gene.ID","Short.Description"
"320","POLG","A0A1B0GW33","",5428,"DNA polymerase gamma, catalytic subunit "
"329","POMC","P01189","PMOC",5443,"proopiomelanocortin "
"331","PRKCD","C9J9P1","C2_domain_sf",5580,"protein kinase C delta "
"338","PTGS2","P35354","EGF-like_dom",5743,"prostaglandin-endoperoxide synthase 2 "
"340","PVALB","B1AH72","EF_hand_dom",5816,"parvalbumin "
"344","RBFOX1","F8VZG9","RRM_dom",54715,"RNA binding fox-1 homolog 1 "
"356","REST","L0B3M6","Znf_C2H2_type",5978,"RE1 silencing transcription factor "
"362","SIGMAR1","Q99720","ERG2_sigma1_rcpt-like",10280,"sigma non-opioid intracellular receptor 1 "
"364","SLC12A5","A0A087X201","KCL_cotranspt",57468,"solute carrier family 12 member 5 "
"374","SLC17A7","Q9P2U7","MFS",57030,"solute carrier family 17 member 7 "
"375","SLC1A1","P43005","Na-dicarboxylate_symporter",6505,"solute carrier family 1 member 1 "
"376","SLC2A1","P11166","Glu_transpt_1",6513,"solute carrier family 2 member 1 "
"380","SLC30A1","Q9Y6M5","Cation_efflux",7779,"solute carrier family 30 member 1 "
"381","SLC6A1","C9J5P8","Na/ntran_symport",6529,"solute carrier family 6 member 1 "
"393","SLC6A2","A0A024R6T9","Na/ntran_symport",6530,"solute carrier family 6 member 2 "
"400","SLC8A1","E9PCL8","DnaJ_domain",6546,"solute carrier family 8 member A1 "
"404","SLC8A3","F2Z391","Calx_beta",6547,"solute carrier family 8 member A3 "
"406","SOD2","G8JLJ2","Mn/Fe_SOD",6648,"superoxide dismutase 2 "
"413","SST","P61278","Somatostatin",6750,"somatostatin "
"414","SSTR2","P30874","GPCR_Rhodpsn",6752,"somatostatin receptor 2 "
"415","SYN2","Q92777","Synapsin",6854,"synapsin II "
"416","TBCD","I3L131","ARM-like",6904,"tubulin folding cofactor D "
"434","TCF4","A0A024R2C0","bHLH_dom",6925,"transcription factor 4 "
"479","TRH","D6RFM1","TRH",7200,"thyrotropin releasing hormone "
"481","TSC1","A0A2R8Y5N2","",7248,"TSC complex subunit 1 "
"504","TSC2","Q5HYF7","Rap_GAP_dom",7249,"TSC complex subunit 2 "
